# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.15.0
#@/tick	14618
#@/user_id	a97dd0d8-3b8d-40de-b6cd-ee2c5013a0d7
a 	啊	c=2 d=0.952922 t=14618
ni shi 	你是	c=7 d=4.65998 t=14618
ni shi shei 	你是谁	c=2 d=1.76086 t=14618
ni shuo de 	你说的	c=1 d=0.909373 t=14618
ni xie 	你写	c=1 d=0.839457 t=14618
ni xie 	拟写	c=1 d=0.900325 t=14618
ni xie yi fen 	你写一份	c=1 d=0.99005 t=14618
ni xu 	逆序	c=1 d=0.895834 t=14618
ni yan juan 	你厌倦	c=1 d=0.852144 t=14618
ni yao 	你要	c=1 d=0.964597 t=14618
ni yao bang zhu 	你要帮助	c=1 d=0.869358 t=14618
ni yao wen 	你要问	c=1 d=0.790571 t=14618
ni yi jing 	你已经	c=3 d=1.544 t=14618
ni yong 	你用	c=1 d=0.748264 t=14618
ni yong de 	你用的	c=1 d=0.965605 t=14618
ni you 	你有	c=2 d=0.975059 t=14618
ni you shen me 	你有什么	c=2 d=1.55372 t=14618
ni zai 	你在	c=2 d=1.44197 t=14618
ni zhi dao 	你知道	c=1 d=0.970446 t=14618
ni zhi jie 	你直接	c=3 d=1.90248 t=14618
ni zhi qian 	你之前	c=1 d=0.460704 t=14618
ni zi 	你自	c=1 d=0.802519 t=14618
nian 	年	c=6 d=2.81453 t=14618
nian du you xi 	年度游戏	c=1 d=1 t=14618
nian shao 	年少	c=2 d=1.68401 t=14618
niao chu 	尿出	c=1 d=0.941765 t=14618
niao shu 	鸟叔	c=1 d=0.99005 t=14618
nin 	您	c=1 d=0.927743 t=14618
niu 	牛	c=1 d=0.904837 t=14618
niu dun 	牛顿	c=1 d=0.839457 t=14618
niu dun fa 	牛顿法	c=2 d=1.13104 t=14618
nong chang 	农场	c=2 d=1.96062 t=14618
nong cheng 	弄成	c=1 d=0.97531 t=14618
nong cun 	农村	c=1 d=0.970446 t=14618
nong du 	浓度	c=2 d=1.71126 t=14618
nong hou de 	浓厚的	c=1 d=0.429557 t=14618
nong lv 	浓绿	c=1 d=0.548812 t=14618
nong suo 	浓缩	c=1 d=0.806541 t=14618
nu li 	努力	c=10 d=3.67556 t=14618
nu li yi ba 	努力一把	c=1 d=0.995012 t=14618
nuan nuan 	暖暖	c=4 d=3.54731 t=14618
nuan nuan shou 	暖暖手	c=1 d=0.965605 t=14618
nv hai 	女孩	c=2 d=1.91751 t=14618
nv sheng 	女生	c=1 d=0.869358 t=14618
o 	哦	c=4 d=2.1289 t=14618
o o 	哦哦	c=2 d=0.713918 t=14618
ou er 	偶尔	c=1 d=0.786628 t=14618
ou er hui 	偶尔回	c=1 d=0.882497 t=14618
pa 	怕	c=1 d=0.767206 t=14618
pa ni 	怕你	c=1 d=0.852144 t=14618
pa zhe 	趴着	c=1 d=0.960789 t=14618
pai 	拍	c=1 d=0.752014 t=14618
pai ban 	排版	c=1 d=0.960789 t=14618
pai bu 	排布	c=0 d=0.099005 t=14618
pai dao 	排到	c=1 d=0.786628 t=14618
pai le yi xie zhao pian 	拍了一些照片	c=1 d=0.860708 t=14618
pai lian 	排练	c=1 d=0.631284 t=14618
pai ming 	排名	c=5 d=2.34231 t=14618
pai she 	拍摄	c=2 d=0.655952 t=14618
pai wei 	排位	c=1 d=0.209088 t=14618
pai xu 	排序	c=1 d=1 t=14618
pan 	盘	c=10 d=5.71958 t=14618
pan duan 	判断	c=3 d=2.38821 t=14618
pan jue 	判决	c=0 d=0.0946485 t=14618
pao 	跑	c=0 d=0.0913931 t=14618
pao man 	跑满	c=1 d=0.814647 t=14618
pei ban zhe ni 	陪伴着你	c=1 d=0.66365 t=14618
pei tao 	配套	c=1 d=0.869358 t=14618
pei yin 	配音	c=2 d=1.89786 t=14618
pei yu 	培育	c=1 d=0.826959 t=14618
pei zhi 	配置	c=91 d=26.9397 t=14618
pei zhi de 	配置的	c=1 d=0.965605 t=14618
pei zhi li 	配置里	c=1 d=0.878095 t=14618
pei zhi wen jian 	配置文件	c=2 d=1.53933 t=14618
pen 	喷	c=2 d=1.84291 t=14618
peng 	碰	c=1 d=0.697676 t=14618
peng you 	朋友	c=3 d=1.68311 t=14618
peng zhuang 	碰撞	c=3 d=2.38514 t=14618
pi 	皮	c=1 d=0.995012 t=14618
pi liang 	批量	c=1 d=0.960789 t=14618
pi pei 	匹配	c=1 d=0.985112 t=14618
pi zhi 	皮质	c=1 d=0.97531 t=14618
pian xiang 	偏向	c=1 d=0.891366 t=14618
pian zhen 	偏振	c=6 d=5.45358 t=14618
pin jie 	拼接	c=1 d=0.398519 t=14618
pin lv 	频率	c=4 d=3.04534 t=14618
pin yin 	拼音	c=5 d=2.64554 t=14618
ping 	平	c=1 d=0.882497 t=14618
ping ban 	平板	c=3 d=2.56437 t=14618
ping bi 	屏蔽	c=1 d=0.951229 t=14618
ping heng 	平衡	c=7 d=3.14157 t=14618
ping heng chang du 	平衡长度	c=1 d=0.882497 t=14618
ping hua 	平滑	c=4 d=2.83441 t=14618
ping hua gun dong 	平滑滚动	c=3 d=2.31069 t=14618
ping jun 	平均	c=6 d=4.58761 t=14618
ping mian 	平面	c=2 d=1.49851 t=14618
ping mian bo 	平面波	c=1 d=0.995012 t=14618
ping mu 	屏幕	c=23 d=11.1071 t=14618
ping pan 	评判	c=1 d=0.481909 t=14618
ping pao 	平抛	c=7 d=3.01909 t=14618
ping pao 	平炮	c=2 d=0.941056 t=14618
ping ri li 	平日里	c=0 d=0.0878095 t=14618
ping shi 	平时	c=2 d=1.08663 t=14618
ping tai 	平台	c=1 d=1 t=14618
ping tan 	评弹	c=1 d=0.666977 t=14618
ping ti 	平替	c=3 d=1.04609 t=14618
po duo 	颇多	c=1 d=0.759572 t=14618
po huai huan jing 	破坏环境	c=1 d=0.810584 t=14618
po huai le 	破坏了	c=1 d=0.748264 t=14618
po shen 	颇深	c=0 d=0.0254107 t=14618
pu 	噗	c=1 d=0.806541 t=14618
pu lang ke 	普朗克	c=2 d=1.97521 t=14618
pu tao yuan 	葡萄园	c=1 d=0.900325 t=14618
pu tong 	普通	c=2 d=1.17533 t=14618
pu tong ban 	普通班	c=1 d=0.99005 t=14618
pu tong peng you 	普通朋友	c=1 d=0.559898 t=14618
pu xian 	谱线	c=5 d=4.21815 t=14618
qi 	七	c=0 d=0.0786628 t=14618
qi 	其	c=3 d=1.20523 t=14618
qi 	器	c=2 d=1.77989 t=14618
qi ci 	其次	c=2 d=1.55759 t=14618
qi dai 	期待	c=2 d=1.90752 t=14618
qi dian 	奇点	c=3 d=1.60328 t=14618
qi dong 	启动	c=39 d=13.6754 t=14618
qi dong bu liao 	启动不了	c=1 d=0.965605 t=14618
qi dong qi 	启动器	c=1 d=0.97531 t=14618
qi dong shi 	启动时	c=1 d=0.67032 t=14618
qi dong su du 	启动速度	c=1 d=0.729789 t=14618
qi guai 	奇怪	c=1 d=0.810584 t=14618
qi jian 	期间	c=1 d=0.491644 t=14618
qi lai 	起来	c=2 d=1.48306 t=14618
qi lian zuo 	七连坐	c=1 d=0.790571 t=14618
qi miao 	奇妙	c=1 d=0.83527 t=14618
qi mo 	期末	c=6 d=3.91546 t=14618
qi shi 	其实	c=1 d=0.898105 t=14618
qi ta 	其他	c=4 d=2.36988 t=14618
qi wang 	期望	c=1 d=0.516851 t=14618
qi wei 	气味	c=1 d=0.551563 t=14618
qi xu 	期许	c=1 d=0.239309 t=14618
qi ye 	企业	c=10 d=5.01193 t=14618
qi yong 	启用	c=4 d=3.20352 t=14618
qi zhe 	七折	c=1 d=0.941765 t=14618
qi zhe 	起着	c=2 d=1.03453 t=14618
qi zhong 	其中	c=4 d=1.79594 t=14618
qi zuo yong 	起作用	c=2 d=1.58425 t=14618
qian 	前	c=3 d=1.48025 t=14618
qian 	钱	c=1 d=0.690734 t=14618
qian bei 	前辈	c=1 d=0.477114 t=14618
qian duan 	前端	c=5 d=3.84754 t=14618
qian li 	潜力	c=0 d=0.0909373 t=14618
qian liang nian 	前两年	c=1 d=0.67368 t=14618
qian liang tian 	前两天	c=4 d=1.01068 t=14618
qian lie 	前列	c=3 d=2.37167 t=14618
qian men 	前门	c=1 d=0.923116 t=14618
qian mian 	前面	c=2 d=1.74752 t=14618
qian suo 	前所	c=1 d=0.554327 t=14618
qian ti 	前提	c=1 d=0.985112 t=14618
qian yan 	前沿	c=1 d=0.839457 t=14618
qian yan wan yu 	千言万语	c=1 d=0.97531 t=14618
qian yi ge 	前一个	c=2 d=1.90268 t=14618
qian yue 	签约	c=0 d=0.0831104 t=14618
qian zai 	潜在	c=1 d=0.869358 t=14618
qian zhan 	前瞻	c=1 d=0.955997 t=14618
qiang 	墙	c=1 d=1.04853 t=14618
qiang 	强	c=1 d=0.831104 t=14618
qiang 	腔	c=0 d=0.0839457 t=14618
qiang hua 	强化	c=4 d=2.19614 t=14618
qiang nei 	墙内	c=4 d=3.44699 t=14618
qiang yun 	强运	c=1 d=0.946485 t=14618
qiang zhan 	抢占	c=1 d=0.965605 t=14618
qiang zhi 	强制	c=2 d=1.66394 t=14618
qiao 	巧	c=0 d=0.0729789 t=14618
qiao qiao 	敲敲	c=1 d=0.965605 t=14618
qiao si 	巧思	c=0 d=0.0634448 t=14618
qie 	且	c=5 d=2.98295 t=14618
qie dao 	切到	c=1 d=0.918512 t=14618
qie huan 	切换	c=21 d=11.7564 t=14618
qie huan dao 	切换到	c=3 d=2.30932 t=14618
qie shi 	切实	c=2 d=0.985392 t=14618
qie xian 	切线	c=3 d=1.60074 t=14618
qie xiang 	切向	c=1 d=0.869358 t=14618
qin ce 	亲测	c=1 d=0.955997 t=14618
qin hu 	琴湖	c=1 d=0.810584 t=14618
qin shen 	亲身	c=1 d=0.458406 t=14618
qin shi 	寝室	c=1 d=0.767206 t=14618
qin yan 	亲眼	c=1 d=0.822835 t=14618
qing 	情	c=0 d=0.099005 t=14618
qing 	请	c=1 d=1.00188 t=14618
qing 	轻	c=1 d=0.951229 t=14618
qing chu 	清楚	c=1 d=0.860708 t=14618
qing chu le 	清楚了	c=1 d=0.856415 t=14618
qing gei yi ge 	请给一个	c=1 d=0.97531 t=14618
qing jiao 	请教	c=1 d=0.647265 t=14618
qing jiao de 	请教的	c=1 d=0.856415 t=14618
qing jiao ni 	请教你	c=1 d=0.66034 t=14618
qing kuang 	情况	c=8 d=3.71557 t=14618
qing kuang xia 	情况下	c=2 d=1.49659 t=14618
qing li 	清理	c=4 d=3.67106 t=14618
qing ni 	请你	c=11 d=6.34922 t=14618
qing shan 	青山	c=1 d=0.923116 t=14618
qing shang 	情商	c=1 d=1 t=14618
qing wei 	轻微	c=1 d=0.810584 t=14618
qing xi 	清晰	c=1 d=0.980199 t=14618
qiu 	求	c=1 d=0.937067 t=14618
qiu 	球	c=1 d=0.923116 t=14618
qiu bang 	球棒	c=1 d=1 t=14618
qiu chu 	求出	c=1 d=0.683861 t=14618
qiu dao 	求导	c=2 d=1.40158 t=14618
qiu he 	求和	c=1 d=1 t=14618
qiu jie 	求解	c=2 d=1.33283 t=14618
qiu zhen 	求真	c=1 d=0.97531 t=14618
qu 	区	c=1 d=0.637628 t=14618
qu 	去	c=39 d=7.89349 t=14618
qu 	取	c=3 d=1.35975 t=14618
qu bie 	区别	c=12 d=6.31267 t=14618
qu bu qu 	去不去	c=1 d=1 t=14618
qu chang shi 	去尝试	c=1 d=0.900325 t=14618
qu dong 	驱动	c=4 d=2.88468 t=14618
qu du 	去读	c=1 d=0.927743 t=14618
qu ji lu 	去记录	c=1 d=0.752014 t=14618
qu jian 	区间	c=2 d=0.86565 t=14618
qu kan guo 	去看过	c=1 d=0.759572 t=14618
qu le 	去了	c=1 d=0.995012 t=14618
qu na li 	去哪里	c=1 d=0.985112 t=14618
qu nian 	去年	c=1 d=0.694197 t=14618
qu shi 	趣事	c=1 d=0.588605 t=14618
qu xian 	曲线	c=3 d=1.8781 t=14618
qu xiang 	去向	c=1 d=0.970446 t=14618
qu xiao 	取消	c=5 d=3.30894 t=14618
qu zuo 	去做	c=2 d=1.25867 t=14618
quan 	全	c=6 d=2.47108 t=14618
quan 	圈	c=1 d=0.268474 t=14618
quan bian cheng 	全变成	c=1 d=0.985112 t=14618
quan bu shu ju 	全部数据	c=1 d=0.965605 t=14618
quan cheng 	全城	c=1 d=0.782705 t=14618
quan cong 	全从	c=1 d=0.847894 t=14618
quan dui 	全队	c=1 d=0.909373 t=14618
quan guo 	全国	c=4 d=1.3967 t=14618
quan jian pan 	全键盘	c=1 d=0.774916 t=14618
quan ju 	全局	c=3 d=2.46603 t=14618
quan sheng 	全省	c=2 d=1.61566 t=14618
quan shi 	全是	c=1 d=0.965605 t=14618
quan shou le 	全收了	c=1 d=0.704688 t=14618
quan ti 	全体	c=2 d=0.975395 t=14618
quan tui 	劝退	c=1 d=0.771052 t=14618
quan xian 	权限	c=1 d=0.995012 t=14618
que 	却	c=2 d=1.70121 t=14618
que 	缺	c=1 d=0.597501 t=14618
que dian 	缺点	c=4 d=2.37945 t=14618
que ding 	确定	c=4 d=2.59654 t=14618
que ren 	确认	c=3 d=1.73959 t=14618
que shao 	缺少	c=1 d=0.985112 t=14618
que shi 	确实	c=8 d=2.86332 t=14618
qun su du 	群速度	c=4 d=3.44062 t=14618
qun ti 	群体	c=3 d=2.04488 t=14618
ran 	染	c=1 d=0.771052 t=14618
ran 	然	c=1 d=1 t=14618
ran er 	然而	c=1 d=0.71177 t=14618
ran hou 	然后	c=6 d=2.89564 t=14618
ran se 	染色	c=1 d=0.70822 t=14618
ran shao 	燃烧	c=2 d=1.89843 t=14618
rang 	让	c=14 d=5.27467 t=14618
rang ni 	让你	c=2 d=1.79069 t=14618
rang ta 	让它	c=1 d=0.852144 t=14618
rang wo 	让我	c=5 d=2.38367 t=14618
rang wo de 	让我的	c=1 d=0.955997 t=14618
rao 	绕	c=0 d=0.0904837 t=14618
rao bu guo 	绕不过	c=1 d=0.909373 t=14618
re ping heng 	热平衡	c=1 d=0.778801 t=14618
re yun dong 	热运动	c=1 d=0.904837 t=14618
ren 	人	c=11 d=4.09896 t=14618
ren 	忍	c=1 d=1 t=14618
ren de 	人的	c=2 d=0.84452 t=14618
ren he 	任何	c=1 d=0.839457 t=14618
ren he ren 	任何人	c=1 d=0.666977 t=14618
ren he yi jian 	任何一件	c=1 d=0.960789 t=14618
ren jun 	人均	c=1 d=0.810584 t=14618
ren kou 	人口	c=1 d=0.960789 t=14618
ren lei 	人类	c=5 d=3.93285 t=14618
ren lei ming yun gong tong ti 	人类命运共同体	c=1 d=0.822835 t=14618
ren long 	忍龙	c=12 d=8.67254 t=14618
ren long si 	忍龙四	c=1 d=0.980199 t=14618
ren min 	人民	c=7 d=2.31706 t=14618
ren sheng 	人生	c=3 d=1.34488 t=14618
ren shi 	认识	c=1 d=0.729789 t=14618
ren shi dao 	认识到	c=1 d=0.357007 t=14618
ren wei 	认为	c=8 d=3.3766 t=14618
ren wu 	任务	c=1 d=0.852144 t=14618
ren xing 	任性	c=3 d=2.06195 t=14618
ren yi 	人意	c=1 d=0.416862 t=14618
ren yu 	人与	c=1 d=0.70822 t=14618
ren yu zi ran 	人与自然	c=1 d=0.729789 t=14618
ren zhe 	忍者	c=9 d=6.86816 t=14618
ren zhen 	认真	c=1 d=0.394554 t=14618
ren zhi 	认知	c=2 d=0.904605 t=14618
reng 	仍	c=1 d=0.965605 t=14618
reng 	扔	c=1 d=0.704688 t=14618
reng jin qu 	仍进去	c=1 d=0.697676 t=14618
reng ran 	仍然	c=1 d=0.927743 t=14618
ri chang 	日常	c=2 d=0.995012 t=14618
ri hou 	日后	c=1 d=0.276651 t=14618
ri ju 	日剧	c=1 d=1 t=14618
rong cuo 	容错	c=1 d=0.524663 t=14618
rong he 	融合	c=2 d=1.37345 t=14618
rong yi 	容易	c=2 d=1.80927 t=14618
rong yu 	荣誉	c=1 d=0.201897 t=14618
ru 	入	c=1 d=0.927743 t=14618
ru 	如	c=3 d=0.889071 t=14618
ru ci 	如此	c=3 d=1.48873 t=14618
ru guo 	如果	c=14 d=5.46616 t=14618
ru he 	如何	c=5 d=2.72698 t=14618
ru he jie jue 	如何解决	c=1 d=1 t=14618
ru he ne 	如何呢	c=1 d=0.995012 t=14618
ru he qu 	如何去	c=1 d=0.955997 t=14618
ru jin 	如今	c=2 d=1.49724 t=14618
ru men 	入门	c=2 d=1.68696 t=14618
ru she 	入射	c=2 d=1.66874 t=14618
ru xia 	如下	c=1 d=0.831104 t=14618
ru xuan 	入选	c=1 d=0.847894 t=14618
ruan dan 	软蛋	c=1 d=0.748264 t=14618
ruan jian 	软件	c=60 d=15.0741 t=14618
ruan jian bao 	软件包	c=1 d=0.995012 t=14618
ruan jian ma 	软件吗	c=1 d=0.790571 t=14618
ruan jian zhu zuo quan 	软件著作权	c=1 d=0.985112 t=14618
ruan lian jie 	软连接	c=1 d=0.839457 t=14618
ruan zhu 	软著	c=1 d=0.99005 t=14618
run 	润	c=1 d=0.995012 t=14618
run le 	润了	c=1 d=0.790571 t=14618
run se 	润色	c=2 d=1.35785 t=14618
ruo 	弱	c=1 d=0.951229 t=14618
ruo 	若	c=15 d=9.24627 t=14618
ruo shui 	弱水	c=1 d=0.985112 t=14618
sa li ya 	萨莉亚	c=1 d=0.856415 t=14618
sai bo 	赛博	c=0 d=0.0818731 t=14618
sai bo jie pi 	赛博洁癖	c=1 d=0.822835 t=14618
sai dao 	赛道	c=1 d=0.97531 t=14618
san 	三	c=1 d=0.932394 t=14618
san 	散	c=1 d=0.97531 t=14618
san deng jiang 	三等奖	c=1 d=0.344728 t=14618
san ge 	三个	c=2 d=0.449214 t=14618
san jiao han shu 	三角函数	c=3 d=2.82823 t=14618
san jie ke 	三节课	c=1 d=0.814647 t=14618
san nian 	三年	c=1 d=0.847894 t=14618
san yuan 	三元	c=1 d=0.904837 t=14618
san zhe 	三者	c=1 d=0.932394 t=14618
sang nv 	丧女	c=2 d=1.99501 t=14618
sao miao 	扫描	c=1 d=0.71177 t=14618
sao sao 	扫扫	c=1 d=1 t=14618
se 	色	c=1 d=0.970446 t=14618
se gui 	色鬼	c=1 d=1 t=14618
se ka 	色卡	c=2 d=1.08162 t=14618
se tu 	色图	c=2 d=1.70195 t=14618
se wen 	色温	c=3 d=2.59602 t=14618
sha 	啥	c=1 d=0.606531 t=14618
sha 	砂	c=1 d=0.995012 t=14618
shai shai 	晒晒	c=1 d=0.802519 t=14618
shai yi fu 	晒衣服	c=1 d=0.980199 t=14618
shan 	删	c=1 d=0.985112 t=14618
shan 	善	c=1 d=1 t=14618
shan 	山	c=2 d=1.29039 t=14618
shan 	闪	c=1 d=0.980199 t=14618
shan bei 	陕北	c=1 d=0.677057 t=14618
shan chu 	删除	c=11 d=7.29303 t=14618
shan chu xian 	删除线	c=1 d=0.900325 t=14618
shan le 	删了	c=3 d=1.94196 t=14618
shan li 	山里	c=1 d=0.382893 t=14618
shan tui 	闪退	c=7 d=6.33228 t=14618
shan xi 	陕西	c=2 d=0.694197 t=14618
shan xing 	扇形	c=1 d=0.97531 t=14618
shang 	上	c=47 d=11.2629 t=14618
shang 	伤	c=1 d=0.985112 t=14618
shang an 	上岸	c=1 d=0.718924 t=14618
shang ban nian 	上半年	c=1 d=0.767206 t=14618
shang cheng 	商城	c=1 d=0.965605 t=14618
shang chuan 	上传	c=1 d=0.97531 t=14618
shang chuan dao 	上传到	c=3 d=2.70157 t=14618
shang de 	上的	c=26 d=8.17537 t=14618
shang dian 	商店	c=2 d=1.80678 t=14618
shang dian ye mian 	商店页面	c=1 d=0.904837 t=14618
shang hai 	上海	c=10 d=6.44346 t=14618
shang hai guang ji suo 	上海光机所	c=6 d=4.17285 t=14618
shang hao 	上号	c=1 d=0.740818 t=14618
shang mian 	上面	c=4 d=2.5818 t=14618
shang shi 	上市	c=1 d=0.451581 t=14618
shang shi 	上式	c=1 d=0.941765 t=14618
shang shi qi ye 	上市企业	c=1 d=0.891366 t=14618
shang tu 	上图	c=1 d=0.499074 t=14618
shang xia 	上下	c=2 d=1.94092 t=14618
shang xia yi dong 	上下移动	c=1 d=0.786628 t=14618
shang xia zuo you 	上下左右	c=1 d=0.822835 t=14618
shang xian 	上限	c=2 d=1.39459 t=14618
shang ye 	商业	c=1 d=0.831104 t=14618
shang ye hua 	商业化	c=3 d=2.18835 t=14618
shang yi 	上一	c=2 d=1.28295 t=14618
shang yi fen 	上一份	c=1 d=0.99005 t=14618
shang yi ge 	上一个	c=1 d=0.852144 t=14618
shang yi jie 	上一届	c=1 d=0.941765 t=14618
shang yi jie 	上一节	c=1 d=0.778801 t=14618
shao bu fen 	少部分	c=1 d=0.594521 t=14618
shao le 	少了	c=1 d=0.970446 t=14618
she bei 	设备	c=3 d=2.65044 t=14618
she ding 	设定	c=2 d=1.92168 t=14618
she hui zhu yi 	社会主义	c=3 d=2.16929 t=14618
she ji 	涉及	c=2 d=1.34992 t=14618
she ji 	设计	c=7 d=2.69092 t=14618
she me 	社么	c=1 d=0.932394 t=14618
she shi 	设施	c=1 d=0.647265 t=14618
she zhi 	设置	c=41 d=14.1408 t=14618
she zhi le 	设置了	c=1 d=0.726149 t=14618
shei 	谁	c=1 d=0.909373 t=14618
shei neng 	谁能	c=1 d=0.869358 t=14618
shen 	神	c=2 d=1.35021 t=14618
shen 	身	c=1 d=0.67032 t=14618
shen bian 	身边	c=4 d=1.75019 t=14618
shen du 	深度	c=2 d=1.05995 t=14618
shen du rong he 	深度融合	c=1 d=0.951229 t=14618
shen du xue xi 	深度学习	c=3 d=1.95359 t=14618
shen fen 	身份	c=1 d=0.980199 t=14618
shen hou 	深厚	c=1 d=0.440432 t=14618
shen hou 	身后	c=1 d=0.438235 t=14618
shen hua 	神话	c=1 d=0.726149 t=14618
shen ke 	深刻	c=3 d=1.01985 t=14618
shen li 	神力	c=1 d=0.918512 t=14618
shen me 	什么	c=94 d=18.922 t=14618
shen me de 	什么的	c=3 d=1.97128 t=14618
shen me shi 	什么事	c=1 d=0.66034 t=14618
shen me yi si 	什么意思	c=7 d=6.56646 t=14618
shen qing 	申请	c=2 d=0.985112 t=14618
shen qing li you 	申请理由	c=1 d=0.955997 t=14618
shen ti 	身体	c=1 d=0.985112 t=14618
shen you 	深有	c=1 d=0.771052 t=14618
shen zhi 	甚至	c=1 d=0.818731 t=14618
shen zhou xi 	神州系	c=1 d=0.408608 t=14618
sheng 	剩	c=1 d=0.951229 t=14618
sheng 	生	c=1 d=0.767206 t=14618
sheng 	胜	c=1 d=0.865022 t=14618
sheng cha 	生茶	c=0 d=0.0980199 t=14618
sheng cha li 	生茶里	c=1 d=0.985112 t=14618
sheng chan li 	生产力	c=2 d=1.95084 t=14618
sheng cheng 	生成	c=5 d=2.79825 t=14618
sheng di 	圣地	c=0 d=0.038868 t=14618
sheng dian 	省电	c=1 d=0.913931 t=14618
sheng huo 	生活	c=1 d=0.843665 t=14618
sheng ji 	省级	c=2 d=1.54209 t=14618
sheng jing 	圣经	c=2 d=1.75113 t=14618
sheng le 	剩了	c=2 d=1.93181 t=14618
sheng ming ti 	生命体	c=1 d=0.514274 t=14618
sheng tai 	生态	c=5 d=2.01761 t=14618
sheng tai huan jing 	生态环境	c=3 d=1.88896 t=14618
sheng tai wen ming 	生态文明	c=1 d=0.860708 t=14618
sheng xia 	剩下	c=2 d=1.14467 t=14618
sheng xia de 	剩下的	c=1 d=0.786628 t=14618
sheng xiao 	生效	c=1 d=1 t=14618
sheng yin 	声音	c=1 d=0.995012 t=14618
shi 	事	c=9 d=3.01315 t=14618
shi 	使	c=2 d=1.47893 t=14618
shi 	屎	c=1 d=0.980199 t=14618
shi 	式	c=4 d=2.26624 t=14618
shi 	时	c=37 d=8.4618 t=14618
shi 	是	c=176 d=19.2724 t=14618
shi bai 	失败	c=11 d=4.27408 t=14618
shi bai zhe 	失败者	c=1 d=0.774916 t=14618
shi bie 	识别	c=2 d=1.80499 t=14618
shi bie dao 	识别到	c=1 d=0.965605 t=14618
shi bu shi 	时不时	c=2 d=0.994178 t=14618
shi bu shi 	是不是	c=1 d=0.774916 t=14618
shi ce 	实测	c=2 d=1.38841 t=14618
shi chang 	市场	c=3 d=1.93484 t=14618
shi chang 	时常	c=1 d=0.644036 t=14618
shi dai 	时代	c=1 d=0.748264 t=14618
shi de 	使得	c=1 d=0.97531 t=14618
shi de 	是的	c=3 d=2.03728 t=14618
shi de shi de 	是的是的	c=1 d=0.891366 t=14618
shi duo ge 	十多个	c=1 d=0.985112 t=14618
shi fen 	十分	c=1 d=0.66034 t=14618
shi fou 	是否	c=2 d=1.68268 t=14618
shi fou cun zai 	是否存在	c=1 d=0.869358 t=14618
shi fou you 	是否有	c=1 d=0.904837 t=14618
shi gan 	实干	c=1 d=0.900325 t=14618
shi ge 	时隔	c=1 d=0.183599 t=14618
shi he 	适合	c=3 d=1.80247 t=14618
shi hou 	时候	c=3 d=1.23587 t=14618
shi hui 	实惠	c=1 d=0.826959 t=14618
shi hui 	是会	c=1 d=0.822835 t=14618
shi ji 	实际	c=5 d=2.15772 t=14618
shi ji shang 	实际上	c=1 d=0.882497 t=14618
shi ji zhang 	十几张	c=1 d=0.634448 t=14618
shi jian 	实践	c=5 d=2.37961 t=14618
shi jian 	时间	c=18 d=7.74523 t=14618
shi jian biao 	时间表	c=1 d=0.900549 t=14618
shi jian zhou 	时间轴	c=1 d=1 t=14618
shi jiao 	视角	c=1 d=0.88692 t=14618
shi jie 	世界	c=4 d=1.84582 t=14618
shi ju you 	是具有	c=1 d=0.585669 t=14618
shi jue 	视觉	c=1 d=0.516851 t=14618
shi li 	失利	c=4 d=1.51118 t=14618
shi li 	实例	c=1 d=0.960789 t=14618
shi li 	实力	c=1 d=0.904837 t=14618
shi li le 	实力了	c=1 d=0.782705 t=14618
shi lian 	失恋	c=1 d=0.946485 t=14618
shi liang 	矢量	c=7 d=2.72141 t=14618
shi luo 	失落	c=2 d=1.14075 t=14618
shi mian 	失眠	c=1 d=0.66365 t=14618
shi min 	市民	c=1 d=0.666977 t=14618
shi neng 	势能	c=1 d=0.946485 t=14618
shi ni 	是你	c=1 d=0.955997 t=14618
shi pin 	视频	c=5 d=3.30126 t=14618
shi qi 	使其	c=1 d=0.449329 t=14618
shi qi 	时期	c=1 d=0.891366 t=14618
shi qian 	事前	c=1 d=0.937067 t=14618
shi qing 	事情	c=2 d=1.65894 t=14618
shi qu 	市区	c=1 d=0.763379 t=14618
shi qu 	时区	c=1 d=0.774916 t=14618
shi sha 	是啥	c=1 d=0.960789 t=14618
shi shang 	时尚	c=1 d=0.878095 t=14618
shi shei 	是谁	c=2 d=1.87564 t=14618
shi shen me 	是什么	c=31 d=11.8341 t=14618
shi shen me yi si 	是什么意思	c=1 d=1 t=14618
shi shi 	事实	c=1 d=0.685012 t=14618
shi shi 	实施	c=2 d=0.918512 t=14618
shi shi 	实时	c=2 d=1.55454 t=14618
shi shi 	试试	c=1 d=0.826959 t=14618
shi shi yi yi 	事实意义	c=1 d=0.634448 t=14618
shi tang 	食堂	c=1 d=0.923116 t=14618
shi wo 	是我	c=4 d=1.73884 t=14618
shi xian 	实现	c=26 d=8.49647 t=14618
shi xian le 	实现了	c=1 d=0.543351 t=14618
shi yan 	实验	c=7 d=3.08421 t=14618
shi yan liu 	实验六	c=1 d=0.918512 t=14618
shi yan shi 	实验室	c=1 d=0.759572 t=14618
shi yan si 	实验四	c=1 d=0.980199 t=14618
shi yan ti 	实验题	c=1 d=0.941765 t=14618
shi yan xi tong 	实验系统	c=1 d=0.33454 t=14618
shi yi 	是以	c=0 d=0.0831104 t=14618
shi yi de 	是以的	c=1 d=0.83527 t=14618
shi yi zhong 	是一种	c=1 d=0.794534 t=14618
